word	total	char_fix	char_issue	ne_score	ne_label
Hveen	2			1.00	namedEntity
Iliadens	2			1.00	namedEntity
Jacob	2			1.00	namedEntity
KNUD	2			1.00	namedEntity
Kaalunds	2			1.00	namedEntity
Kjöbenhavn	2	Kjøbenhavn	danish_variant_oe	0.8	namedEntity
Limfjorden	2			1.00	namedEntity
Lise	2			1.00	namedEntity
Lobedanz	2			1.00	namedEntity
Læssøe	2			1.00	namedEntity
Lübeck	2		foreign_name	1.00	namedEntity
Mabile	2			1.00	namedEntity
Machiavelli	2			1.00	namedEntity
Marbachs	2			1.00	namedEntity
Mardochæus	2			1.00	namedEntity
Marthe	2			1.00	namedEntity
Molière	2			1.00	namedEntity
Mozarts	2			1.00	namedEntity
Nyboder	2			1.00	namedEntity
Ostindien	2			1.00	namedEntity
Pavestaten	2			1.00	namedEntity
Plautus	2			1.00	namedEntity
Prebens	2			1.00	namedEntity
Reitzels	2			1.00	namedEntity
Rosenvænget	2			1.00	namedEntity
Schweizeren	2			1.00	namedEntity
Seinen	2			1.00	namedEntity
Siegwarth	2			1.00	namedEntity
Silvio	2			1.00	namedEntity
Stuttgart	2			1.00	namedEntity
Søren	2			1.00	namedEntity
Thomsen	2			1.00	namedEntity
Titian	2			1.00	namedEntity
Tommelise	2			1.00	namedEntity
Tuk	2			1.00	namedEntity
Turandot	2			1.00	namedEntity
Aagaard	1			1.00	namedEntity
Aalborg	1			1.00	namedEntity
Abrahamson	1			1.00	namedEntity
Absalon	1			1.00	namedEntity
Alfieri	1			1.00	namedEntity
Alfreds	1			1.00	namedEntity
Amlet	1			1.00	namedEntity
Amlets	1			1.00	namedEntity
An-Lis	1			1.00	namedEntity
Anacreons	1			1.00	namedEntity
Annette	1			1.00	namedEntity
Atterdag	1			1.00	namedEntity
Bergsøe	1			1.00	namedEntity
Bethlehems	1			1.00	namedEntity
Bidpais	1			1.00	namedEntity
Bornholm	1			1.00	namedEntity
Bretlands	1			1.00	namedEntity
Brønnes	1			1.00	namedEntity
Byzanz	1			1.00	namedEntity
Børglumkloster	1			1.00	namedEntity
Californiens	1			1.00	namedEntity
Casinos	1			1.00	namedEntity
Casortis	1			1.00	namedEntity
Christiansand	1			1.00	namedEntity
Christianssand	1			1.00	namedEntity
Christinelund	1			1.00	namedEntity
Chræn	1			1.00	namedEntity
Colombus	1			1.00	namedEntity
Conradsen	1			1.00	namedEntity
Corsøer	1			1.00	namedEntity
Cortez	1			1.00	namedEntity
Daae	1			1.00	namedEntity
Damascus	1			1.00	namedEntity
Delphis	1			1.00	namedEntity
Dovre	1			1.00	namedEntity
Edda	1			1.00	namedEntity
Elses	1			1.00	namedEntity
Emilies	1			1.00	namedEntity
Ernst	1			1.00	namedEntity
Firdusi	1			1.00	namedEntity
Firdûsi	1			1.00	namedEntity
Flinch	1			1.00	namedEntity
Frijsenborg	1			1.00	namedEntity
Frølichs	1			1.00	namedEntity
Funder	1			1.00	namedEntity
Gallilæi	1			1.00	namedEntity
Gambaruk	1			1.00	namedEntity
Garibaldi	1			1.00	namedEntity
Georgs	1			1.00	namedEntity
Gersons	1			1.00	namedEntity
Gianina	1			1.00	namedEntity
Glorup	1			1.00	namedEntity
Glucks	1			1.00	namedEntity
Gottschalcks	1			1.00	namedEntity
