word	char_issue
affutte	v.
affyre	v.
affælde	v.
affældig	adj.
Affældighed	sb.
affærdige	v.
Affære	sb.
afføde	v.
Affødning	sb.
Affølge	sb.
afføre	v.
Afførelse	sb.
Afføring	sb.
Afføringsmiddel	sb.
Afgang	sb.
Afgangs-	i ssgr.
Afgangsbevis	sb.
Afgangseksamen	sb.
Afgangsgilde	sb.
Afgangsklasse	sb.
Afgangslinie	sb.
Afgangsliste	sb.
Afgangsperron	sb.
Afgangsprøve	sb.
Afgangsrør	sb.
Afgangssignal	sb.
Afgangsstation	sb.
Afgangstid	sb.
Afgangsventil	sb.
Afgift	sb.
afgiftsfri	adj.
Afgiftsfrihed	sb.
Afgiftslen	sb.
Afgiftspligt	sb.
afgiftspligtig	adj.
Afgiftsydelse	sb.
afgitre	v.
afgive	v.
Afgiver	sb.
afgjort	adj.
Afgjorthed	sb.
Afglans	sb.
afglasse	v.
afglatte	v.
afglide	v.
afgnave	v.
afgnide	v.
afgrave	v.
afgrene	v.
Afgrening	sb.
afgroet	adj.
Afgrund	sb.
Afgrunds-	i ssgr.
afgrundsdyb	adj.
Afgrundsdyb	sb.
afgrundsmørk	adj.
Afgrundsrand	sb.
Afgrundssvælg	sb.
afgrænse	v.
Afgrænsning	sb.
afgræsse	v.
Afgrøde	sb.
afgrøfte	v.
Afgud	sb.
Afguderi	sb.
afguderisk	adj.
Afgudinde	sb.
afgudisk	adj.
Afgudiskhed	sb.
Afgudsalter	sb.
Afgudsbillede	sb.
Afgudsdyrkelse	sb.
Afgudsdyrker	sb.
Afgudsdyrkeri	sb.
Afgudshus	sb.
Afgudslære	sb.
Afgudsoffer	sb.
Afgudspræst	sb.
Afgudsslange	sb.
Afgudsstøtte	sb.
Afgudstempel	sb.
Afgudstjener	sb.
Afgudstro	sb.
Afgunst	sb.
Afgunstighed	sb.
afgærde	v.
afgære	v.
afgøre	v.
Afgørelse	sb.
Afgøring	sb.
afgaa	v.
afhalse	v.
afhamre	v.
afhandle	v.
Afhandling	sb.
Afhang	sb.
afharpe	v.
Afharpning	sb.
afharve	v.
afhase	v.
afhasle	v.
afhaspe	v.
afhegle	v.
afhegne	v.
Afhegning	sb.
afhente	v.
afheste	v.
afhjemle	v.
afhjorte	v.
Afhjælp	sb.
afhjælpe	v.
afhjælpelig	adj.
Afhold	sb.
afholde	v.
afholden	adj.
afholdende	adj.
Afholdenhed	sb.
Afholdenhedsforening	sb.
Afholdenhedssag	sb.
Afholdenhedsselskab	sb.
Afholdning	sb.
Afholdningstov	sb.
Afholds-	i ssgr.
Afholdsbevægelse	sb.
Afholdsblad	sb.
Afholdsbaand	sb.
Afholdsdrik	sb.
Afholdsfolk	sb.pl.
Afholdsforening	sb.
Afholdshjem	sb.
Afholdsloge	sb.
Afholdsløfte	sb.
Afholdsmand	sb.
Afholdsrestauration	sb.
Afholdssag	sb.
Afholdstaler	sb.
afholdt	adj.
afhorne	v.
afhude	v.
Afhug	sb.
afhugge	v.
Afhugger	sb.
afhylle	v.
afhælde	v.
afhænde	v.
afhændelig	adj.
Afhændelighed	sb.
Afhænder	sb.
afhændige	v.
Afhæng	sb.
afhænge	v.
afhængelig	adj.
Afhængelse	sb.
afhængende	adj.
Afhængenhed	sb.
afhængig	adj.
Afhængighed	sb.
Afhængighedsfald	sb.
Afhængighedsforhold	sb.
Afhængighedsform	sb.
afhærde	v.
afhæve	v.
afhøre	v.
afhøste	v.
afhøvle	v.
Afhøvling	sb.
afhaare	v.
afilte	v.
afjage	v.
afjaske	v.
afjuske	v.
afjævne	v.
Afkald	sb.
Afkaldsbrev	sb.
afkalke	v.
Afkant	sb.
afkante	v.
Afkantemaskine	sb.
afkappe	v.
afkappe	v.
Afkast	sb.
afkaste	v.
Afkastning	sb.
afkende	v.
afkile	v.
afkime	v.
Afklang	sb.
afklappe	v.
afklapse	v.
afklare	v.
afklaske	v.
Afklip	sb.
afklippe	v.
afklæde	v.
Afklædning	sb.
Afklædningsrum	sb.
afkløve	v.
afknappe	v.
afknibe	v.
afknække	v.
afkoble	v.
Afkog	sb.
afkoge	v.
Afkom	sb.
Afkomling	sb.
afkomløs	adj.
Afkoms-	
Afkomsarv	sb.
Afkomsarving	sb.
Afkomspræmie	sb.
Afkomsskue	sb.
Afkomst	sb.
afkopiere	v.
afkoppe	v.
afkorte	v.
Afkortelse	sb.
Afkortelsestegn	sb.
Afkortersav	sb.
Afkortning	sb.
afkoste	v.
afkrabe	v.
afkradse	v.
Afkradsning	sb.
afkredse	v.
afkridte	v.
afkristne	v.
Afkrog	sb.
afkrydse	v.
afkrympe	v.
afkryste	v.
afkræfte	v.
afkræftelig	adj.
Afkræftelse	sb.
afkrænge	v.
afkræve	v.
afkrøsle	v.
afkulle	v.
afkvase	v.
afkviste	v.
afkvitte	v.
afkynde	v.
afkysse	v.
afkæmme	v.
Afkæmning	sb.
afkæmpe	v.
afkøbe	v.
afkøde	v.
afkøle	v.
Afkøler	sb.
Afkølingslov	sb.
Afkølingsrum	sb.
Afkølingsvand	sb.
Afkølingsvogn	sb.
afkølne	v.
afkøre	v.
Aflad	sb.
aflade	v.
aflade	v.
Afladedokument	sb.
Afladelse	sb.
Aflader	sb.
Aflads-	i ssgr.
Afladsbrev	sb.
Afladshandel	sb.
Afladskram	sb.
Afladskræmmer	sb.
Afladskræmmeri	sb.
Afladslære	sb.
Afladspenge	sb.pl.
Afladsaar	sb.
aflagre	v.
Aflagring	sb.
Aflandsvind	sb.
aflang	adj.
aflangrund	adj.
aflaste	v.
Aflastningsbue	sb.
afle	v.
aflede	v.
Afleder	sb.
Afledning	sb.
Aflednings-	i ssgr.
Afledningsendelse	sb.
Afledningsgrøft	sb.
Afledningskanal	sb.
Afledningsmiddel	sb.
Afledningsrør	sb.
Afledningstegn	sb.
Afleds-	i ssgr.
Afledsendelse	sb.
Afledskanal	sb.
Afledsord	sb.
aflejre	v.
Aflejring	sb.
aflevere	v.
Aflevering	sb.
Afleveringskontrakt	sb.
Afleveringspligt	sb.
aflevet	adj.
aflide	v.
afliggende	adj.
Afliggenhed	sb.
afligne	v.
aflikvidere	v.
aflime	v.
afline	v.
afliniere	v.
aflire	v.
afliste	v.
aflive	v.
aflokke	v.
aflosse	v.
aflufte	v.
