word	char_issue
Affart	Noun
affarve	Verb
affase	Verb
Affatning	Noun
affatte	Verb
Affattelse	Noun
Affattelsesform	Noun
Affattelsestid	Noun
affede	Verb
Affedningskur	Noun
affedte	Verb
affeje	Verb
Affekt	Noun
Affektation	Noun
affektere	Verb
Affektion	Noun
Affektionspris	Noun
afficere	Verb
affile	Verb
Affiling	Noun
affiltrere	Verb
affilutere	Verb
affinde	Verb
Affindelse	Noun
affire	Verb
Affiringstov	Noun
affiske	Verb
affjere	Verb
afflade	Verb
afflorere	Verb
afflovende	Adjective
afflyde	Verb
afflække	Verb
affløde	Verb
afflaa	Verb
affodre	Verb
affolke	Verb
affordre	Verb
afforme	Verb
affosfore	Verb
affotografere	Verb
Affrisning	Noun
affriste	Verb
affritte	Verb
affryse	Verb
affræse	Verb
affure	Verb
affusle	Verb
affutte	Verb
affyre	Verb
affælde	Verb
affældig	Adjective
Affældighed	Noun
affærdige	Verb
Affære	Noun
afføde	Verb
Affødning	Noun
Affølge	Noun
afføre	Verb
Afførelse	Noun
Afføring	Noun
Afføringsmiddel	Noun
Afgang	Noun
Afgangs-	BoundForm
Afgangsbevis	Noun
Afgangseksamen	Noun
Afgangsgilde	Noun
Afgangsklasse	Noun
Afgangslinie	Noun
Afgangsliste	Noun
Afgangsperron	Noun
Afgangsprøve	Noun
Afgangsrør	Noun
Afgangssignal	Noun
Afgangsstation	Noun
Afgangstid	Noun
Afgangsventil	Noun
Afgift	Noun
afgiftsfri	Adjective
Afgiftsfrihed	Noun
Afgiftslen	Noun
Afgiftspligt	Noun
afgiftspligtig	Adjective
Afgiftsydelse	Noun
afgitre	Verb
afgive	Verb
Afgiver	Noun
afgjort	Adjective
Afgjorthed	Noun
Afglans	Noun
afglasse	Verb
afglatte	Verb
afglide	Verb
afgnave	Verb
afgnide	Verb
afgrave	Verb
afgrene	Verb
Afgrening	Noun
afgroet	Adjective
Afgrund	Noun
Afgrunds-	BoundForm
afgrundsdyb	Adjective
Afgrundsdyb	Noun
afgrundsmørk	Adjective
Afgrundsrand	Noun
Afgrundssvælg	Noun
afgrænse	Verb
Afgrænsning	Noun
afgræsse	Verb
Afgrøde	Noun
afgrøfte	Verb
Afgud	Noun
Afguderi	Noun
afguderisk	Adjective
Afgudinde	Noun
afgudisk	Adjective
Afgudiskhed	Noun
Afgudsalter	Noun
Afgudsbillede	Noun
Afgudsdyrkelse	Noun
Afgudsdyrker	Noun
